Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
BIOF,BioFuel Energy Corp.,0.405,42238260,n/a,2007,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/biof
BIIB,Biogen Idec Inc.,136.71,32636094750,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
BLTI,"BioLase Technology, Inc.",2.52,71704080,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/blti
BLRX,BioLineRx Ltd.,2.66,46831960,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/blrx
BMRN,BioMarin Pharmaceutical Inc.,38,4372166000,n/a,1999,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
BMTI,"BioMimetic Therapeutics, Inc.",2.48,69581360,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bmti
BRLI,"Bio-Reference Laboratories, Inc.",21.7,606515000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/brli
BPAX,"Biosante Pharmaceuticals, Inc.",0.45,52353900,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bpax
BIOS,"BioScrip, Inc.",7.64,440323760,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bios
BSTC,BioSpecifics Technologies Corp,15.06,95796660,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bstc
BSPM,"Biostar Pharmaceuticals, Inc.",1.28,12029440,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bspm
BDMS,"Birner Dental Management Services, Inc.",16.9,31231200,n/a,1998,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bdms
BJRI,"BJ&#39;s Restaurants, Inc.",46.09,1286510170,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bjri
BBOX,Black Box Corporation,22.31,389978800,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bbox
BDE,"Black Diamond, Inc.",9.61,294796360,n/a,1996,n/a,n/a,http://www.nasdaq.com/symbol/bde
BLKB,"Blackbaud, Inc.",27.55,1229170800,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BKCC,BlackRock Kelso Capital Corporation,9.71,712956750,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/bkcc
ADRA,BLDRS Asia 50 ADR Index Fund,23.96,28752000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,18.9401,49244260,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,38.9,385110000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRU,BLDRS Europe 100 ADR Index Fund,18.7,13090000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
NILE,"Blue Nile, Inc.",28.95,402115500,n/a,2004,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/nile
MNGL,Blue Wolf Mongolia Holdings Corp.,10.1,101636300,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mngl
MNGLU,Blue Wolf Mongolia Holdings Corp.,10.22,71540000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mnglu
MNGLW,Blue Wolf Mongolia Holdings Corp.,0.72,8796240,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mnglw
BFLY,"Bluefly, Inc.",1.609,45980393,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/bfly
